ticker,name,sector
GMG.AX,Goodman Group,Real Estate
GNC.AX,GrainCorp Limited,Consumer Staples
GOZ.AX,Growthpoint Properties Australia,Real Estate
GPT.AX,GPT Group,Real Estate
GQG.AX,GQG Partners Inc.,Financials
HLI.AX,Helia Group Limited,Financials
HMC.AX,HMC Capital Limited,Financials
HUB.AX,Hub24 Limited,Financials
IAG.AX,Insurance Australia Group Limited,Financials
IEL.AX,IDP Education Limited,Consumer Discretionary
IFL.AX,Insignia Financial Limited,Financials
IGO.AX,IGO Limited,Materials
ILU.AX,Iluka Resources Limited,Materials
IMB.AX,IMB Bank,Financials
INA.AX,Ingenia Communities Group,Real Estate
IPH.AX,IPH Limited,Industrials
IPL.AX,Incitec Pivot Limited,Materials
IRE.AX,IRESS Limited,Technology
JBH.AX,JB Hi-Fi Limited,Consumer Discretionary
JHG.AX,Janus Henderson Group plc,Financials
JHX.AX,James Hardie Industries plc,Materials
LLC.AX,Lendlease Group,Real Estate
LIC.AX,Lifestyle Communities Limited,Real Estate
LOV.AX,Lovisa Holdings Limited,Consumer Discretionary
LYC.AX,Lynas Rare Earths Limited,Materials
MAF.AX,MA Financial Group Limited,Financials
MFG.AX,Magellan Financial Group Limited,Financials
MGR.AX,Mirvac Group,Real Estate
MIN.AX,Mineral Resources Limited,Materials
MMS.AX,McMillan Shakespeare Limited,Financials
MPL.AX,Medibank Private Limited,Health Care
MQG.AX,Macquarie Group Limited,Financials
MTS.AX,Metcash Limited,Consumer Staples
NAB.AX,National Australia Bank Limited,Financials
NAM.AX,Namoi Cotton Limited,Consumer Staples
NCM.AX,Newcrest Mining Limited,Materials
NEU.AX,Neuren Pharmaceuticals Limited,Health Care
NHF.AX,nib Holdings Limited,Health Care
NST.AX,Northern Star Resources Limited,Materials
NTO.AX,Nitro Software Limited,Technology
NUF.AX,Nufarm Limited,Materials
NWL.AX,Netwealth Group Limited,Financials
NWS.AX,News Corporation,Communication Services
ORA.AX,Orora Limited,Materials
ORG.AX,Origin Energy Limited,Utilities
ORI.AX,Orica Limited,Materials
OSH.AX,Oil Search Limited,Energy
OZL.AX,OZ Minerals Limited,Materials
PAC.AX,Pacific Current Group Limited,Financials
PAR.AX,Paradigm Biopharmaceuticals Limited,Health Care
PDN.AX,Paladin Energy Limited,Energy
PLS.AX,Pilbara Minerals Limited,Materials
PMV.AX,Premier Investments Limited,Consumer Discretionary
PPT.AX,Perpetual Limited,Financials
PRN.AX,Perenti Limited,Materials
PXA.AX,Pexa Group Limited,Technology
QAN.AX,Qantas Airways Limited,Industrials
QBE.AX,QBE Insurance Group Limited,Financials
QUB.AX,Qube Holdings Limited,Industrials
REA.AX,REA Group Limited,Communication Services
REH.AX,Reece Limited,Industrials
RHC.AX,Ramsay Health Care Limited,Health Care
RIO.AX,Rio Tinto Limited,Materials
RMD.AX,ResMed Inc.,Health Care
RRL.AX,Regis Resources Limited,Materials
RWC.AX,Reliance Worldwide Corporation Limited,Industrials
S32.AX,South32 Limited,Materials
SCG.AX,Scentre Group,Real Estate
SEK.AX,Seek Limited,Communication Services
SGM.AX,Sims Limited,Materials
SGP.AX,Stockland Corporation Limited,Real Estate
SHL.AX,Sonic Healthcare Limited,Health Care
SIG.AX,Sigma Healthcare Limited,Health Care
SKC.AX,SkyCity Entertainment Group Limited,Consumer Discretionary
SKI.AX,Spark Infrastructure Group,Utilities
SLR.AX,Silver Lake Resources Limited,Materials
SOL.AX,Washington H. Soul Pattinson and Company Limited,Financials
SPK.AX,Spark New Zealand Limited,Communication Services
SPL.AX,Starpharma Holdings Limited,Health Care
STO.AX,Santos Limited,Energy
SUL.AX,Super Retail Group Limited,Consumer Discretionary
SUN.AX,Suncorp Group Limited,Financials
SVW.AX,Seven Group Holdings Limited,Industrials
SYD.AX,Sydney Airport,Industrials
TAH.AX,Tabcorp Holdings Limited,Consumer Discretionary
TLX.AX,Telix Pharmaceuticals Limited,Health Care
TNE.AX,Technology One Limited,Technology
TPG.AX,TPG Telecom Limited,Communication Services
TWE.AX,Treasury Wine Estates Limited,Consumer Staples
TYR.AX,Tyro Payments Limited,Technology
UNI.AX,Universal Store Holdings Limited,Consumer Discretionary
VEA.AX,Viva Energy Group Limited,Energy
VNT.AX,Ventia Services Group Limited,Industrials
VUK.AX,Virgin Money UK plc,Financials
WAF.AX,West African Resources Limited,Materials
WBC.AX,Westpac Banking Corporation,Financials
WDS.AX,Woodside Energy Group Limited,Energy
WEB.AX,Webjet Limited,Consumer Discretionary
WES.AX,Wesfarmers Limited,Consumer Discretionary
WHC.AX,Whitehaven Coal Limited,Energy
WOW.AX,Woolworths Group Limited,Consumer Staples
WPR.AX,Waypoint REIT,Real Estate
WTC.AX,WiseTech Global Limited,Technology
XRO.AX,Xero Limited,Technology
YAL.AX,Yancoal Australia Limited,Energy
ZIP.AX,Zip Co Limited,Technology
360.AX,Life360 Inc.,Technology
29M.AX,29Metals Limited,Materials
4DX.AX,4DMedical Limited,Health Care
ABB.AX,Aussie Broadband Limited,Communication Services
ABY.AX,Adore Beauty Group Limited,Consumer Discretionary
ADA.AX,Adacel Technologies Limited,Technology
ADD.AX,Adultswim Limited,Communication Services
ADH.AX,Adairs Limited,Consumer Discretionary
AEF.AX,Australian Ethical Investment Limited,Financials
AFG.AX,Australian Finance Group Limited,Financials
AGI.AX,Ainsworth Game Technology Limited,Consumer Discretionary
AIA.AX,Auckland International Airport Limited,Industrials
AIM.AX,AI Media Technologies Limited,Technology
AIS.AX,Aeris Resources Limited,Materials
ALC.AX,Alcidion Group Limited,Health Care
AOF.AX,Australian Unity Office Fund,Real Estate
APA.AX,APA Group,Utilities
APM.AX,APM Human Services International Limited,Health Care
ARF.AX,Arena REIT,Real Estate
ARM.AX,Aurora Minerals Limited,Materials
ARX.AX,Aroa Biosurgences Limited,Health Care
ASG.AX,Autosports Group Limited,Consumer Discretionary
ASK.AX,Abacus Storage King,Real Estate
AVH.AX,Avita Medical Inc.,Health Care
AX1.AX,Accent Group Limited,Consumer Discretionary
AZS.AX,Azure Minerals Limited,Materials
BGL.AX,Bellevue Gold Limited,Materials
BKW.AX,Brickworks Limited,Materials
CIA.AX,Champion Iron Limited,Materials
CIE.AX,Cimic Group Limited,Industrials
CLQ.AX,CleanQ Limited,Technology
CMM.AX,Capricorn Metals Ltd.,Materials
CNU.AX,Chorus Limited,Communication Services
COE.AX,Cooper Energy Limited,Energy
CPH.AX,Crown Resorts Limited,Consumer Discretionary
CVW.AX,Clearview Wealth Limited,Financials
CYC.AX,Cyclopharm Limited,Health Care
DRR.AX,Deterra Royalties Limited,Materials
DTL.AX,Data#3 Limited,Technology
DVP.AX,Develop Global Limited,Materials
